Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,0.428000,0.438600,0.418400,0.422100,0.422100,4948564
2022-11-22,0.413000,0.434500,0.413000,0.422900,0.422900,3315846
2022-11-23,0.433400,0.433400,0.422800,0.428400,0.428400,2056212
2022-11-24,0.428400,0.435000,0.424700,0.426900,0.426900,1807197
2022-11-25,0.426900,0.433800,0.425100,0.428600,0.428600,2138377
2022-11-28,0.418200,0.425400,0.416200,0.419000,0.419000,2825044
2022-11-29,0.418900,0.424800,0.418200,0.422000,0.422000,3218298
2022-11-30,0.420000,0.428600,0.410400,0.410400,0.410400,6279591
2022-12-01,0.403000,0.410300,0.388900,0.399200,0.399200,7517526
2022-12-02,0.396800,0.403600,0.392100,0.395400,0.395400,5385411
2022-12-05,0.395000,0.401000,0.389800,0.391900,0.391900,5292720
2022-12-06,0.392000,0.394300,0.390000,0.391300,0.391300,2607626
2022-12-07,0.391000,0.392000,0.385000,0.390200,0.390200,1702049
2022-12-08,0.385400,0.387000,0.380500,0.384500,0.384500,2754044
2022-12-09,0.385200,0.390000,0.381900,0.384800,0.384800,2556371
2022-12-12,0.383900,0.384500,0.374900,0.376300,0.376300,3282144
2022-12-13,0.376200,0.395800,0.375000,0.383700,0.383700,4429285
2022-12-14,0.385200,0.390000,0.377300,0.382000,0.382000,2592568
2022-12-15,0.382000,0.389700,0.377800,0.384300,0.384300,2551482
2022-12-16,0.384000,0.384000,0.368100,0.368400,0.368400,4666042
2022-12-19,0.368200,0.369900,0.357600,0.358300,0.358300,2888148
2022-12-20,0.358300,0.358300,0.349000,0.349000,0.349000,3734128
2022-12-21,0.340000,0.348200,0.338800,0.338800,0.338800,6398094
2022-12-22,0.339000,0.353900,0.327100,0.328500,0.328500,10774616
2022-12-23,0.328000,0.329000,0.316900,0.320000,0.320000,6730069
2022-12-27,0.316000,0.326500,0.316000,0.317000,0.317000,5463290
2022-12-28,0.314000,0.316000,0.308100,0.309500,0.309500,6008394
