,Date,SP500 - Price,SP500 - Log-Return,squared_log_ret
"1-1",1950-01-04,16.850000000000001,#N/A,#N/A
"2-1",1950-01-05,16.93,0.0047365393466733963,2.2434804982585244e-05
"3-1",1950-01-06,16.98,0.0029489847381571899,8.6965109858840288e-06
"4-1",1950-01-09,17.079999999999998,0.0058720074772224962,3.4480471812556901e-05
"5-1",1950-01-10,17.030000999999999,-0.002931634965922747,8.5944835734208653e-06
"6-1",1950-01-11,17.09,0.0035169437329982678,1.2368893221075791e-05
"7-1",1950-01-12,16.760000000000002,-0.01949840207356246,0.00038018768342230484
"8-1",1950-01-13,16.670000000000002,-0.0053843982912340493,2.899174495864415e-05
"9-1",1950-01-16,16.719999000000001,0.002994851085238448,8.9691330227539093e-06
"10-1",1950-01-17,16.860001,0.0083384640377475172,6.9529982508808623e-05
"11-1",1950-01-18,16.850000000000001,-0.0005933550873180593,3.5207025964622175e-07
"12-1",1950-01-19,16.870000999999998,0.0011862990363269432,1.4073054035902342e-06
"13-1",1950-01-20,16.899999999999999,0.0017766660943299151,3.1565424107415147e-06
"14-1",1950-01-23,16.920000000000002,0.001182732249049856,1.3988555729425305e-06
"15-1",1950-01-24,16.860001,-0.003552342292388655,1.2619135762293084e-05
"16-1",1950-01-25,16.739999999999998,-0.007142946824359786,5.102168933563155e-05
"17-1",1950-01-26,16.73,-0.00059755006259631926,3.5706607730886508e-07
"18-1",1950-01-27,16.82,0.0053651395460692086,2.8784722348795716e-05
"19-1",1950-01-30,17.02,0.011820468600426182,0.00013972347793366131
"20-1",1950-01-31,17.049999,0.0017610219332695465,3.1011982494564109e-06
"21-1",1950-02-01,17.049999,0,0
"22-1",1950-02-02,17.23,0.010501905461340666,0.00011029001831893691
"23-1",1950-02-03,17.290001,0.0034763069922592038,1.2084710304430232e-05
"24-1",1950-02-06,17.32,0.0017335456021916329,3.0051803548779511e-06
"25-1",1950-02-07,17.23,-0.0052098525944508367,2.7142564055906114e-05
"26-1",1950-02-08,17.209999,-0.0011614984221441915,1.3490785846434466e-06
